web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665131024-1","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=1&maxPrice=2.5&page=40","Barebells eiwitreep en Vitamin Well sport pakket","https://www.ah.nl/producten/product/wi523298/barebells-eiwitreep-en-vitamin-well-sport-pakket","2.49","null","null","null","null","null"
"1665131027-2","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=1&maxPrice=2.5&page=40","OriNoko Hazelnootpasta","https://www.ah.nl/producten/product/wi479180/orinoko-hazelnootpasta","1.49","2447 kJ (587 kcal)","Vet39 g","Koolhydraten58 g","Prijs per KG € 4,26","Eiwitten1 g"
"1665131029-3","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=1&maxPrice=2.5&page=40","AH Kleintje Goudse JB 35+","https://www.ah.nl/producten/product/wi454838/ah-kleintje-goudse-jb-35","1.40","1128 kJ (271 kcal)","Vet19 g","Koolhydraten0 g","Normale prijs per KG € 18,59","Eiwitten25 g"
"1665131032-4","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=1&maxPrice=2.5&page=40","Quorn Vegetarian Pepperoni","https://www.ah.nl/producten/product/wi445462/quorn-vegetarian-pepperoni","2.35","976 kJ (236 kcal)","Vet17 g","Koolhydraten4.2 g","Prijs per KG € 23,50","Eiwitten11 g"
"1665131035-5","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=1&maxPrice=2.5&page=40","Barebells White chocolate almond","https://www.ah.nl/producten/product/wi444578/barebells-white-chocolate-almond","2.49","1552 kJ (372 kcal)","Vet15 g","Koolhydraten30 g","Prijs per KG € 45,27","Eiwitten36 g"
"1665131037-6","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=1&maxPrice=2.5&page=40","AH Mueslireep hazelnoot","https://www.ah.nl/producten/product/wi407141/ah-mueslireep-hazelnoot","2.35","1610 kJ (386 kcal)","Vet13 g","Koolhydraten46 g","Prijs per KG € 15,67","Eiwitten7.7 g"
"1665131039-7","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=1&maxPrice=2.5&page=40","Leksands Kncke extra krokant","https://www.ah.nl/producten/product/wi395337/leksands-kncke-extra-krokant","2.29","1450 kJ (350 kcal)","Vet2.6 g","Koolhydraten64 g","Prijs per KG € 11,45","Eiwitten9 g"
"1665131042-8","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=1&maxPrice=2.5&page=40","Wilthagen Zeeuwsche leverworst 250 gram","https://www.ah.nl/producten/product/wi231691/wilthagen-zeeuwsche-leverworst-250-gram","2.19","978 kJ (236 kcal)","Vet19 g","Koolhydraten0.4 g","Prijs per KG € 8,76","Eiwitten15 g"
"1665131045-9","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=1&maxPrice=2.5&page=40","Van Oers Bourgondische vleessalade","https://www.ah.nl/producten/product/wi197460/van-oers-bourgondische-vleessalade","2.19","1419 kJ (343 kcal)","Vet31.8 g","Koolhydraten5.6 g","Prijs per KG € 14,60","Eiwitten8.5 g"
"1665131048-10","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=1&maxPrice=2.5&page=40","AH Ah vetspek stukje","https://www.ah.nl/producten/product/wi132214/ah-ah-vetspek-stukje","1.92","3114 kJ (757 kcal)","Vet83 g","Koolhydraten0.5 g","Prijs per KG € 8,19","Eiwitten2 g"
