web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665149088-973","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?sortBy=-price&page=40","Twix Chocolade reep 5-pack","https://www.ah.nl/producten/product/wi191264/twix-chocolade-reep-5-pack","2.45","2065 kJ (493 kcal)","Vet24 g","Koolhydraten65 g","Normale prijs per KG € 9,80","Eiwitten4.4 g"
"1665149090-974","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?sortBy=-price&page=40","Koopmans Mix voor tulband cake","https://www.ah.nl/producten/product/wi196916/koopmans-mix-voor-tulband-cake","2.45","1640 kJ (390 kcal)","Vet20 g","Koolhydraten48 g","Normale prijs per KG € 5,27","Eiwitten5.5 g"
"1665149093-975","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?sortBy=-price&page=40","Punselie's Stroopkoekjes Classic","https://www.ah.nl/producten/product/wi196499/punselie-s-stroopkoekjes-classic","2.45","2050 kJ (490 kcal)","Vet24 g","Koolhydraten62 g","Prijs per KG € 12,25","Eiwitten4.5 g"
"1665149095-976","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?sortBy=-price&page=40","Kitkat Chunky mini's uitdeelzak","https://www.ah.nl/producten/product/wi71729/kitkat-chunky-mini-s-uitdeelzak","2.45","2163 kJ (517 kcal)","Vet27.4 g","Koolhydraten58.6 g","Prijs per KG € 9,80","Eiwitten7.6 g"
"1665149098-977","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?sortBy=-price&page=40","Tyrrells Lightly Sea Salted","https://www.ah.nl/producten/product/wi171844/tyrrells-lightly-sea-salted","2.45","1988 kJ (476 kcal)","Vet27 g","Koolhydraten49 g","Prijs per KG € 16,33","Eiwitten6.2 g"
"1665149100-978","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?sortBy=-price&page=40","Duyvis Oven roasted amandelen","https://www.ah.nl/producten/product/wi168432/duyvis-oven-roasted-amandelen","2.45","2630 kJ (635 kcal)","Vet50 g","Koolhydraten21 g","Prijs per KG € 19,60","Eiwitten21 g"
"1665149103-979","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?sortBy=-price&page=40","Tyrrells Sea salt & cider vinegar","https://www.ah.nl/producten/product/wi171843/tyrrells-sea-salt-en-cider-vinegar","2.45","1924 kJ (461 kcal)","Vet25 g","Koolhydraten50 g","Prijs per KG € 16,33","Eiwitten5.7 g"
"1665149106-980","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?sortBy=-price&page=40","Tyrrells Sweet chilli & red pepper","https://www.ah.nl/producten/product/wi171842/tyrrells-sweet-chilli-en-red-pepper","2.45","1952 kJ (468 kcal)","Vet25 g","Koolhydraten51 g","Prijs per KG € 16,33","Eiwitten6.3 g"
"1665149108-981","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?sortBy=-price&page=40","LU Tuc original 3-pack","https://www.ah.nl/producten/product/wi358669/lu-tuc-original-3-pack","2.49","2010 kJ (479 kcal)","Vet19 g","Koolhydraten67 g","Prijs per KG € 8,30","Eiwitten8.4 g"
"1665149110-982","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?sortBy=-price&page=40","Barebells eiwitreep en Vitamin Well sport pakket","https://www.ah.nl/producten/product/wi523298/barebells-eiwitreep-en-vitamin-well-sport-pakket","2.49","null","null","null","null","null"
