web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665084047-757","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Snijbonen kleinverpakking","https://www.ah.nl/producten/product/wi230846/ah-snijbonen-kleinverpakking","1.89","92 kJ (22 kcal)","Vet0.1 g","Koolhydraten2 g","null","Eiwitten1.9 g"
"1665084050-758","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Biologisch Prei","https://www.ah.nl/producten/product/wi186650/ah-biologisch-prei","1.09","130 kJ (31 kcal)","Vet0.3 g","Koolhydraten4 g","null","Eiwitten1.5 g"
"1665084052-759","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Hutspot","https://www.ah.nl/producten/product/wi80568/ah-hutspot","1.59","146 kJ (35 kcal)","Vet0.3 g","Koolhydraten5.7 g","null","Eiwitten0.9 g"
"1665084055-760","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Uien","https://www.ah.nl/producten/product/wi189479/ah-uien","1.69","145 kJ (35 kcal)","Vet0.1 g","Koolhydraten6.5 g","null","Eiwitten1 g"
"1665084057-761","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Roerbak Italiaans kastanjechampignons","https://www.ah.nl/producten/product/wi133277/ah-roerbak-italiaans-kastanjechampignons","2.19","131 kJ (31 kcal)","Vet0.2 g","Koolhydraten4.4 g","null","Eiwitten2 g"
"1665084059-762","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Broccoliroosjes","https://www.ah.nl/producten/product/wi121473/ah-broccoliroosjes","2.35","110 kJ (26 kcal)","Vet0 g","Koolhydraten2 g","null","Eiwitten3 g"
"1665084062-763","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Ananasstukjes op sap","https://www.ah.nl/producten/product/wi56754/ah-ananasstukjes-op-sap","1.00","243 kJ (57 kcal)","Vet0.1 g","Koolhydraten13 g","null","Eiwitten0.3 g"
"1665084065-764","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Sjalotten","https://www.ah.nl/producten/product/wi525846/ah-sjalotten","1.29","158 kJ (38 kcal)","Vet0.2 g","Koolhydraten6.3 g","null","Eiwitten1.3 g"
"1665084067-765","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Ananas","https://www.ah.nl/producten/product/wi520318/ah-ananas","1.75","229 kJ (54 kcal)","Vet0.1 g","Koolhydraten12 g","null","Eiwitten0.5 g"
"1665084070-766","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Crazy carrot","https://www.ah.nl/producten/product/wi447300/ah-crazy-carrot","1.00","142 kJ (34 kcal)","Vet0 g","Koolhydraten7.1 g","null","Eiwitten0.8 g"
