web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665122603-330","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","Boursin Knoflook & fijne kruiden","https://www.ah.nl/producten/product/wi444854/boursin-knoflook-en-fijne-kruiden","2.69","1282 kJ (311 kcal)","Vet30.5 g","Koolhydraten2.5 g","Prijs per KG € 21,52","Eiwitten6.5 g"
"1665122605-331","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","Bonne Vache Smeerkaaspuntjes","https://www.ah.nl/producten/product/wi236944/bonne-vache-smeerkaaspuntjes","2.69","994 kJ (240 kcal)","Vet19.5 g4.6%","Koolhydraten8.5 g0.54%","Prijs per KG € 6,73","Eiwitten7.5 g2.5%"
"1665122608-332","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","AH Biologisch Buffelmozzarella 52+","https://www.ah.nl/producten/product/wi238912/ah-biologisch-buffelmozzarella-52","2.69","1025 kJ (245 kcal)","Vet21 g","Koolhydraten0.5 g","Prijs per KG € 21,52","Eiwitten14 g"
"1665122610-333","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","Meester & Zn. Rauwe Ham","https://www.ah.nl/producten/product/wi230867/meester-en-zn-rauwe-ham","2.69","939 kJ (225 kcal)","Vet15 g","Koolhydraten0.6 g","Prijs per KG € 13,45","Eiwitten22 g"
"1665122612-334","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","AH Mozzarella geraspt","https://www.ah.nl/producten/product/wi232017/ah-mozzarella-geraspt","2.69","1273 kJ (306 kcal)","Vet22 g","Koolhydraten2 g","Prijs per KG € 17,93","Eiwitten25 g"
"1665122615-335","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","AH Parmigiano reggiano poeder","https://www.ah.nl/producten/product/wi212481/ah-parmigiano-reggiano-poeder","2.69","1654 kJ (398 kcal)","Vet30 g","Koolhydraten0 g","Prijs per KG € 29,89","Eiwitten32 g"
"1665122617-336","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","AH Excellent Arrabbiata pesto","https://www.ah.nl/producten/product/wi199920/ah-excellent-arrabbiata-pesto","2.69","1735 kJ (420 kcal)","Vet38 g","Koolhydraten11 g","Prijs per KG € 19,93","Eiwitten5 g"
"1665122619-337","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","AH Coburger ham","https://www.ah.nl/producten/product/wi197149/ah-coburger-ham","2.69","750 kJ (180 kcal)","Vet10 g","Koolhydraten0.3 g","Prijs per KG € 26,90","Eiwitten22 g"
"1665122621-338","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","MinusL Goudse 48+ plakken","https://www.ah.nl/producten/product/wi202121/minusl-goudse-48-plakken","2.69","1511 kJ (364 kcal)","Vet29 g","Koolhydraten0.1 g","Prijs per KG € 17,93","Eiwitten25 g"
"1665122624-339","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","AH Ossenworst","https://www.ah.nl/producten/product/wi197377/ah-ossenworst","2.69","710 kJ (170 kcal)","Vet10 g","Koolhydraten4 g","Prijs per KG € 12,81","Eiwitten16 g"
"1665122626-340","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","AH Excellent Hongaarse salami","https://www.ah.nl/producten/product/wi56482/ah-excellent-hongaarse-salami","2.42","2173 kJ (525 kcal)","Vet47 g","Koolhydraten0.5 g","Normale prijs per KG € 33,63","Eiwitten25 g"
"1665122628-341","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","Chavroux Pure geitenkaas","https://www.ah.nl/producten/product/wi121115/chavroux-pure-geitenkaas","2.69","673 kJ (162 kcal)","Vet13 g","Koolhydraten2.6 g","Prijs per KG € 17,93","Eiwitten8.7 g"
"1665122631-342","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","AH Parmigiano reggiano","https://www.ah.nl/producten/product/wi143821/ah-parmigiano-reggiano","2.69","1597 kJ (384 kcal)","Vet28 g","Koolhydraten0 g","Prijs per KG € 29,89","Eiwitten33 g"
"1665122633-343","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","AH Pasta geraspte kaas","https://www.ah.nl/producten/product/wi162601/ah-pasta-geraspte-kaas","2.69","1458 kJ (351 kcal)","Vet27 g","Koolhydraten2 g","Prijs per KG € 17,93","Eiwitten25 g"
"1665122635-344","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","Compaxo Amigo's","https://www.ah.nl/producten/product/wi67722/compaxo-amigo-s","2.69","2252 kJ (544 kcal)","Vet48 g","Koolhydraten1 g","Prijs per KG € 13,45","Eiwitten27 g"
"1665122637-345","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","Streeckgenoten Cervelaat klein","https://www.ah.nl/producten/product/wi413235/streeckgenoten-cervelaat-klein","2.66","1570 kJ (379 kcal)","Vet35 g","Koolhydraten1.5 g","Prijs per KG € 22,19","Eiwitten22 g"
"1665122640-346","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","Meester & Zn. Katenspek","https://www.ah.nl/producten/product/wi230864/meester-en-zn-katenspek","2.65","1542 kJ (373 kcal)","Vet35 g","Koolhydraten0.5 g","Prijs per KG € 13,25","Eiwitten14 g"
