web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665133622-802","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Body & Fit Whey perfection chocolate flavour","https://www.ah.nl/producten/product/wi524472/body-en-fit-whey-perfection-chocolate-flavour","24.99","1512 kJ (361 kcal)","Vet4 g","Koolhydraten4.8 g","Prijs per KG € 52,50","Eiwitten75 g"
"1665133625-803","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH broodsmeersels pakket","https://www.ah.nl/producten/product/wi519907/ah-broodsmeersels-pakket","4.38","null","null","null","null","null"
"1665133627-804","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Borrelplank vrijmibo","https://www.ah.nl/producten/product/wi515352/borrelplank-vrijmibo","18.15","null","null","null","null","null"
"1665133629-805","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Asbal Siroop met honingraat","https://www.ah.nl/producten/product/wi220762/asbal-siroop-met-honingraat","2.99","1326 kJ (320 kcal)","Vet0 g","Koolhydraten80 g","Prijs per KG € 6,15","Eiwitten< 0.1 g"
"1665133632-806","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH vleeswaren pakket","https://www.ah.nl/producten/product/wi523309/ah-vleeswaren-pakket","5.18","null","null","null","null","null"
"1665133634-807","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Vegan smeer leverworst 4-pack","https://www.ah.nl/producten/product/wi520817/ah-vegan-smeer-leverworst-4-pack","6.36","null","null","null","null","null"
"1665133636-808","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Biologisch Jonge kaas 50+ plakken 4-pack","https://www.ah.nl/producten/product/wi520383/ah-biologisch-jonge-kaas-50-plakken-4-pack","11.96","null","null","null","null","null"
"1665133639-809","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Smaakt Lijnzaad heel","https://www.ah.nl/producten/product/wi227832/smaakt-lijnzaad-heel","2.99","1969 kJ (477 kcal)","Vet31 g","Koolhydraten13 g","Prijs per KG € 5,98","Eiwitten19 g"
"1665133642-810","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Beemster borrelkaas pakket","https://www.ah.nl/producten/product/wi532198/beemster-borrelkaas-pakket","14.11","null","null","null","null","null"
"1665133645-811","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Body & Fit Whey perfection vanilla flavour","https://www.ah.nl/producten/product/wi524474/body-en-fit-whey-perfection-vanilla-flavour","24.99","1534 kJ (367 kcal)","Vet3.5 g","Koolhydraten5.8 g","Prijs per KG € 52,50","Eiwitten78 g"
"1665133647-812","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Goudse jong belegen 30+ plakken 4-pack","https://www.ah.nl/producten/product/wi520822/ah-goudse-jong-belegen-30-plakken-4-pack","11.96","null","null","null","null","null"
"1665133649-813","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Le Rose Fromage affine au champagne rose","https://www.ah.nl/producten/product/wi519079/le-rose-fromage-affine-au-champagne-rose","7.99","1059 kJ (255 kcal)","Vet20 g","Koolhydraten1 g","Prijs per KG € 44,39","Eiwitten16.9 g"
"1665133652-814","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Mister Kitchen's Vegan uncheesed crackers cranberry","https://www.ah.nl/producten/product/wi518050/mister-kitchen-s-vegan-uncheesed-crackers-cranberry","2.99","1835 kJ (437 kcal)","Vet13.9 g","Koolhydraten61.8 g","Prijs per KG € 19,93","Eiwitten11.7 g"
"1665133654-815","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Langnese Wilde lavendel bee easy","https://www.ah.nl/producten/product/wi511070/langnese-wilde-lavendel-bee-easy","4.29","null","null","null","Prijs per KG € 17,16","null"
"1665133657-816","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Melvita Light mix","https://www.ah.nl/producten/product/wi532224/melvita-light-mix","4.05","1161 kJ (277 kcal)","Vet0 g","Koolhydraten59 g","Prijs per KG € 11,10","Eiwitten0.4 g"
"1665133659-817","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Zuivelspread light 4-pack","https://www.ah.nl/producten/product/wi520825/ah-zuivelspread-light-4-pack","3.16","null","null","null","null","null"
"1665133661-818","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Excellent Saucisson sec a l'ancienne","https://www.ah.nl/producten/product/wi519053/ah-excellent-saucisson-sec-a-l-ancienne","3.99","1912 kJ (461 kcal)","Vet39 g","Koolhydraten1.6 g","Normale prijs per KG € 22,17","Eiwitten26 g"
"1665133664-819","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Excellent Ossau-iraty","https://www.ah.nl/producten/product/wi468267/ah-excellent-ossau-iraty","4.18","1765 kJ (426 kcal)","Vet37 g","Koolhydraten1.3 g","Prijs per KG € 21,99","Eiwitten22 g"
"1665133666-820","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Polderkaas Baby polderkaas 48+","https://www.ah.nl/producten/product/wi197132/polderkaas-baby-polderkaas-48","5.99","1612 kJ (385 kcal)","Vet31 g","Koolhydraten< 0.5 g","Prijs per KG € 15,76","Eiwitten26 g"
"1665133669-821","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","FBR Blueberry protein","https://www.ah.nl/producten/product/wi518758/fbr-blueberry-protein","3.49","1339 kJ (320 kcal)","Vet2.4 g","Koolhydraten56 g","Prijs per KG € 29,08","Eiwitten17.4 g"
"1665133672-822","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","FBR Strawberry popcorn","https://www.ah.nl/producten/product/wi518713/fbr-strawberry-popcorn","2.99","1219 kJ (291 kcal)","Vet1.1 g","Koolhydraten66.7 g","Prijs per KG € 24,92","Eiwitten2.2 g"
"1665133674-823","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Smaakt Less carb Mini Crackers rozemarijn bio","https://www.ah.nl/producten/product/wi485164/smaakt-less-carb-mini-crackers-rozemarijn-bio","3.49","2012 kJ (484 kcal)","Vet33 g","Koolhydraten17 g","Prijs per KG € 17,45","Eiwitten25 g"
"1665133677-824","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Excellent Fontina d'aosta AOP","https://www.ah.nl/producten/product/wi518854/ah-excellent-fontina-d-aosta-aop","5.20","1586 kJ (382 kcal)","Vet31 g","Koolhydraten0.8 g","Prijs per KG € 25,99","Eiwitten25 g"
"1665133679-825","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","FBR Apple cinnamon","https://www.ah.nl/producten/product/wi518756/fbr-apple-cinnamon","2.99","1276 kJ (305 kcal)","Vet3.5 g","Koolhydraten62 g","Prijs per KG € 24,92","Eiwitten4 g"
"1665133682-826","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Beemster X-o-","https://www.ah.nl/producten/product/wi518384/beemster-x-o","5.99","1830 kJ (441 kcal)","Vet36.3 g","Koolhydraten0 g","Prijs per KG € 27,23","Eiwitten28.7 g"
"1665133684-827","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Streeckgenoten Fryske stokoud","https://www.ah.nl/producten/product/wi506075/streeckgenoten-fryske-stokoud","3.20","1966 kJ (468 kcal)","Vet40 g","Koolhydraten0 g","Prijs per KG € 19,99","Eiwitten28 g"
"1665133686-828","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Hero Fruitspread zwarte kers","https://www.ah.nl/producten/product/wi532215/hero-fruitspread-zwarte-kers","2.59","862 kJ (203 kcal)","Vet0.4 g","Koolhydraten49 g","Prijs per KG € 7,40","Eiwitten0.7 g"
"1665133689-829","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Beemster kaas borrelpakket","https://www.ah.nl/producten/product/wi532199/beemster-kaas-borrelpakket","16.95","null","null","null","null","null"
"1665133691-830","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Smeer salades pakket","https://www.ah.nl/producten/product/wi523185/ah-smeer-salades-pakket","4.50","null","null","null","null","null"
"1665133696-831","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","FBR Banana choco","https://www.ah.nl/producten/product/wi518703/fbr-banana-choco","2.99","1314 kJ (311 kcal)","Vet3.5 g","Koolhydraten63 g","Prijs per KG € 24,92","Eiwitten3.3 g"
"1665133698-832","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Streeckgenoten Friese nagelkaas 50+ stuk","https://www.ah.nl/producten/product/wi518366/streeckgenoten-friese-nagelkaas-50-stuk","3.99","1720 kJ (415 kcal)","Vet35 g","Koolhydraten0 g","Prijs per KG € 16,99","Eiwitten25 g"
"1665133701-833","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Excellent Honing klaver","https://www.ah.nl/producten/product/wi479786/ah-excellent-honing-klaver","3.99","1384 kJ (326 kcal)","Vet0 g","Koolhydraten81 g","Prijs per KG € 15,96","Eiwitten0.4 g"
"1665133705-834","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Excellent Honing & Gember","https://www.ah.nl/producten/product/wi479784/ah-excellent-honing-en-gember","2.99","1370 kJ (322 kcal)","Vet0.04 g","Koolhydraten80 g","Prijs per KG € 11,96","Eiwitten0.5 g"
"1665133707-835","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Wijngaard Affiné Mosterd Dille","https://www.ah.nl/producten/product/wi439790/wijngaard-affine-mosterd-dille","3.29","1547 kJ (368 kcal)","Vet30 g","Koolhydraten1.3 g","Prijs per KG € 21,93","Eiwitten23.3 g"
"1665133710-836","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Chocomix","https://www.ah.nl/producten/product/wi437603/ah-chocomix","3.99","2152 kJ (516 kcal)","Vet30 g","Koolhydraten52 g","Prijs per KG € 13,30","Eiwitten7.1 g"
