web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665126807-510","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Activia Yoghurt vijg","https://www.ah.nl/producten/product/wi451458/activia-yoghurt-vijg","2.25","379 kJ (91 kcal)","Vet2.9 g","Koolhydraten12.1 g","Normale prijs per KG € 4,50","Eiwitten3.9 g"
"1665126809-511","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Almhof Choco met echte slagroom karamel","https://www.ah.nl/producten/product/wi493085/almhof-choco-met-echte-slagroom-karamel","1.25","701 kJ (168 kcal)","Vet9.1 g","Koolhydraten17.9 g","Normale prijs per KG € 6,94","Eiwitten3.4 g"
"1665126812-512","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Den Eelder Boeren volle yoghurt","https://www.ah.nl/producten/product/wi233527/den-eelder-boeren-volle-yoghurt","1.95","250 kJ (60 kcal)","Vet4 g","Koolhydraten4 g","Prijs per LT € 1,95","Eiwitten3.5 g"
"1665126814-513","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Melkunie Breaker kers","https://www.ah.nl/producten/product/wi216245/melkunie-breaker-kers","1.55","439 kJ (104 kcal)","Vet4 g","Koolhydraten13 g","Prijs per KG € 7,75","Eiwitten3.6 g"
"1665126816-514","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","AH Chocosticks","https://www.ah.nl/producten/product/wi493709/ah-chocosticks","1.12","971 kJ (233 kcal)","Vet14 g","Koolhydraten25 g","null","Eiwitten1.5 g"
"1665126818-515","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Zuivelhoeve Boer'n muesli honing","https://www.ah.nl/producten/product/wi209355/zuivelhoeve-boer-n-muesli-honing","1.69","505 kJ (120 kcal)","Vet4.8 g","Koolhydraten14 g","Prijs per KG € 9,94","Eiwitten4.9 g"
"1665126822-516","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Hertog Ijssalon mini ijs vanille karamel pecan","https://www.ah.nl/producten/product/wi188379/hertog-ijssalon-mini-ijs-vanille-karamel-pecan","1.04","120 kcal (500 kJ)","Vet4.3 g6%","Koolhydraten19 g7%","Normale prijs per LT € 7,45","Eiwitten1.1 g2%"
"1665126824-517","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Vifit Drinkyoghurt rode vruchten","https://www.ah.nl/producten/product/wi57425/vifit-drinkyoghurt-rode-vruchten","1.35","215 kJ (51 kcal)","Vet0.8 g","Koolhydraten6.6 g","Prijs per LT € 2,70","Eiwitten3.1 g"
"1665126826-518","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","AH Biologisch Halfvolle koffiemelk","https://www.ah.nl/producten/product/wi128423/ah-biologisch-halfvolle-koffiemelk","0.95","487 kJ (116 kcal)","Vet4.3 g","Koolhydraten11 g","Prijs per LT € 5,11","Eiwitten8.3 g"
"1665126829-519","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Isey Gebakken appel","https://www.ah.nl/producten/product/wi498195/isey-gebakken-appel","1.84","228 kJ (54 kcal)","Vet0.2 g","Koolhydraten4.1 g","Normale prijs per KG € 6,13","Eiwitten8.9 g"
"1665126831-520","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Yakult Original 15-pack","https://www.ah.nl/producten/product/wi132886/yakult-original-15-pack","6.49","280 kJ (66 kcal)","Vet0 g","Koolhydraten15.4 g","null","Eiwitten1.3 g"
"1665126833-521","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","AH Kefir naturel","https://www.ah.nl/producten/product/wi415705/ah-kefir-naturel","1.29","178 kJ (42 kcal)","Vet1.5 g","Koolhydraten3.8 g","Prijs per LT € 1,29","Eiwitten3.4 g"
"1665126836-522","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Alpro Amandeldrink zonder suikers gekoeld","https://www.ah.nl/producten/product/wi236573/alpro-amandeldrink-zonder-suikers-gekoeld","2.55","13 kcal (53 kJ)","Vet1.1 g","Koolhydraten0 g","Prijs per LT € 2,55","Eiwitten0.4 g"
"1665126838-523","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Magnum Mini almond remix","https://www.ah.nl/producten/product/wi515458/magnum-mini-almond-remix","5.59","360 kcal (1504 kJ)","Vet23 g","Koolhydraten32 g","null","Eiwitten5.2 g"
"1665126841-524","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Arla Lactofree halfvolle melk lactosevrij","https://www.ah.nl/producten/product/wi213334/arla-lactofree-halfvolle-melk-lactosevrij","1.99","162 kJ (39 kcal)","Vet1.5 g","Koolhydraten2.7 g","Prijs per LT € 1,99","Eiwitten3.5 g"
"1665126843-525","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Mona Dame blanche pudding met chocoladesaus","https://www.ah.nl/producten/product/wi67815/mona-dame-blanche-pudding-met-chocoladesaus","1.85","773 kJ (184 kcal)","Vet8.6 g","Koolhydraten21.9 g","Prijs per LT € 4,11","Eiwitten3.9 g"
"1665126845-526","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Chocomel De enige echte halfvol voordeel","https://www.ah.nl/producten/product/wi209791/chocomel-de-enige-echte-halfvol-voordeel","2.99","320 kJ (76 kcal)","Vet1.6 g","Koolhydraten11.7 g","Prijs per LT € 1,99","Eiwitten3.2 g"
"1665126847-527","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Alpro Sojadrink banaan","https://www.ah.nl/producten/product/wi113391/alpro-sojadrink-banaan","2.29","58 kcal (243 kJ)","Vet1.8 g","Koolhydraten7.2 g","Prijs per LT € 2,29","Eiwitten3 g"
"1665126850-528","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","De Zaanse Hoeve Yoghurt aardbei","https://www.ah.nl/producten/product/wi195967/de-zaanse-hoeve-yoghurt-aardbei","0.39","326 kJ (78 kcal)","Vet3.9 g","Koolhydraten7.7 g","Prijs per KG € 2,60","Eiwitten3 g"
