,product name,base price,Kcal/100g,fat/100g,carb/100g,protein/100g,€/100g or ml,protein/Kcal
524,CêlaVíta Oma's kruimige aardappelen voordeel,3.09,86.0,0.3,18.0,,0.33999999999999997,
525,AH Barbecue minikrieltjes,0.75,88.0,0.4,18.0,2.1,0.37,0.023863636363636365
526,Kanzi Appelen zak,3.49,,,,,0.33999999999999997,
527,Bonduelle Gebroken sperzieboontjes fijn,0.89,29.0,0.4,3.8,1.6,0.8,0.055172413793103454
528,AH Bloemkoolroosjes,2.29,26.0,0.2,,1.9,0.5700000000000001,0.07307692307692307
530,AH Partjes mandarijn op sap,1.65,44.0,,9.6,0.8,0.9400000000000001,0.018181818181818184
531,AH Zachte pruimen,2.09,255.0,0.4,57.0,,0.8300000000000001,
973,AH Vegan visfilet,2.59,239.0,15.0,17.0,,1.29,
974,AH Argentijnse garnaal,8.69,67.0,0.3,,16.0,1.9300000000000002,0.23880597014925373
975,AH Tonijnsteak wit,5.49,124.0,1.8,,27.0,2.38,0.21774193548387097
976,Morjon Bakkeljauw filet,5.49,76.0,,,19.0,1.56,0.25
977,Lekker & Anders Beef kebab,4.55,234.0,18.0,4.9,13.0,1.1300000000000001,0.05555555555555555
978,Quorn 10 Fish-Free Sticks,3.29,214.0,7.8,29.0,4.5,1.64,0.02102803738317757
979,Princes Gegrilde makreel in zonnebloemolie,2.39,331.0,27.0,,22.0,1.9899999999999998,0.06646525679758308
980,AH Champignon-roomsaus,1.99,104.0,8.8,4.1,,1.04,
981,Iglo Vissticks omega 3,5.99,214.0,9.4,20.0,12.0,1.0699999999999998,0.056074766355140186
982,AH Excellent Varkenshaasspies indonesian,5.97,160.0,8.6,0.4,20.0,1.9899999999999998,0.125
983,AH BBQ sparerib pittig,8.98,204.0,11.0,12.0,14.0,1.35,0.06862745098039216
984,AH Tilapiafilet graatvrij,2.79,100.0,3.1,,18.0,1.24,0.18
985,AH Garnalen rauw en gepeld,5.09,61.0,0.6,,14.0,2.2600000000000002,0.22950819672131148
986,AH Biologisch Ribrunderlap,9.98,166.0,9.5,,20.0,1.9899999999999998,0.12048192771084337
987,Mora Hamburger xtra,3.45,202.0,14.0,3.6,14.0,0.35,0.06930693069306931
988,AH Reebiefstuk,11.98,120.0,3.6,,22.0,5.99,0.18333333333333332
989,AH Uramaki,4.49,144.0,3.1,24.0,4.6,1.9899999999999998,0.03194444444444444
990,Streeckgenoten Kippen ragout,3.59,108.0,5.7,2.5,11.2,0.89,0.1037037037037037
991,AH Greenfields Beefburger tomaat,3.99,265.0,20.0,3.1,18.0,1.59,0.06792452830188679
992,AH Wilde zalmfilet,2.49,99.0,2.5,,19.0,0.99,0.1919191919191919
993,AH Ah mini hamburgers 10st,4.89,281.0,22.0,2.6,18.0,1.95,0.06405693950177936
994,AH Wilde zalmfilets,6.99,99.0,2.5,,19.0,1.03,0.1919191919191919
995,AH Ah vetspek stukje,1.92,757.0,83.0,0.5,,0.8099999999999999,
997,AH Biologisch Rundersoepballetjes,2.72,238.0,17.0,2.1,19.0,1.31,0.07983193277310924
998,AH Rundersoeppakket,5.19,193.0,14.0,0.8,16.0,1.29,0.08290155440414508
1000,AH Zalmtartaar,3.49,165.0,8.4,0.4,22.0,3.4899999999999998,0.13333333333333333
