,product name,base price,Kcal/100g,fat/100g,carb/100g,protein/100g,€/100g or ml,protein/Kcal
2228,Aviko Maaltijdpannetje malse kipfilet,3.29,90.0,2.5,11.5,4.5,0.73,0.05
2230,AH Maaltijdsalade biet witte kaas,4.99,128.0,,5.8,4.7,1.42,0.03671875
2232,Padifood Chinese tomatensoep,2.99,99.0,3.9,13.2,2.4,0.6599999999999999,0.024242424242424242
2233,AH Lasagne groenten,3.59,118.0,3.8,16.0,4.1,0.89,0.03474576271186441
2237,Dr. Oetker Tradizionale pizza mozzarella e pesto,3.99,239.0,,30.0,8.7,1.03,0.03640167364016736
2238,AH Hollandse stamppot witlof,3.99,98.0,3.7,12.0,3.6,0.79,0.036734693877551024
2239,AH Salade erbij geitenkaas honing,3.89,142.0,10.0,7.8,4.5,1.8,0.03169014084507042
2240,Dr. Oetker Casa di mama pizza mozzarella pomodori,3.99,203.0,6.7,26.0,8.2,0.96,0.040394088669950735
2241,AH Aardappel vrije-uitloop ei,2.25,183.0,13.0,11.0,4.9,0.5599999999999999,0.026775956284153007
2242,Dr. Oetker Big americans pizza bbq chicken,4.69,212.0,4.7,32.0,9.2,1.03,0.04339622641509434
2243,Bertolli Pizzabodems,2.39,282.0,6.3,47.0,7.7,0.85,0.027304964539007093
2247,Crosta & Mollica Mini pizza salami & mozzarella,2.89,240.0,5.8,35.0,11.0,1.8,0.04583333333333333
2248,Crosta & Mollica Mini pizza tomato & mozzarella,2.89,241.0,6.4,35.0,10.0,1.8699999999999999,0.04149377593360996
2249,AH Pastasaus alla norma,2.29,53.0,2.5,4.9,2.2,1.01,0.041509433962264156
2251,Iglo Ping & klaar lasagnette met sperziebonen,3.75,137.0,4.7,16.0,6.9,0.9800000000000001,0.050364963503649635
2252,AH Maaltijdsalade Hollandse garnalen,5.99,69.0,4.2,3.6,3.6,1.49,0.052173913043478265
2253,AH Mini pizzadeeg,2.49,300.0,9.2,47.0,6.5,0.63,0.021666666666666667
2254,Iglo Ping & klaar cordon bleu,4.99,151.0,6.8,15.0,6.2,1.24,0.04105960264900663
2255,AH Rozemarijn zeezout focaccia,2.39,304.0,7.7,48.0,7.8,0.6799999999999999,0.025657894736842105
2256,Dr. Oetker Ristorante pizza vegetale,3.49,190.0,7.7,22.0,6.9,0.9,0.03631578947368421
2258,Dr. Oetker Casa di mama pizza quattro formaggi,3.99,217.0,7.6,27.0,9.4,0.97,0.04331797235023042
2260,Iglo Roerbaksensatie noedels rundvlees,7.29,109.0,3.9,12.0,5.5,1.53,0.05045871559633028
2261,Dr. Oetker The good baker pizza meat free chicken,4.29,211.0,7.2,26.0,9.3,1.26,0.04407582938388626
2266,Koopmans Schudfles pannenkoeken compleet,1.75,165.0,2.7,28.0,6.2,0.8300000000000001,0.037575757575757575
2267,AH Kipfilet pepersaus met wortel en doperwt,4.79,75.0,1.1,9.5,5.9,0.95,0.07866666666666668
2268,Oma's Soep Tomaat met verse basilicum,3.69,39.8,2.1,3.8,0.9,0.73,0.022613065326633167
2269,AH Rundvlees salade,2.49,135.0,6.5,16.0,2.4,0.24,0.017777777777777778
2270,AH Maaltijdsalade quinoa noten,4.99,162.0,12.0,7.9,4.4,1.24,0.027160493827160497
2271,Iglo Roerbaksensatie south Indian curry,5.89,125.0,5.4,13.0,5.4,1.3,0.0432
2272,Dr. Oetker Mini pizza formaggi,3.29,263.0,12.0,26.0,11.0,1.02,0.04182509505703422
2273,AH Chow mein,2.59,135.0,,22.0,4.3,1.29,0.03185185185185185
2274,Dr. Oetker The good baker pizza spinach,4.29,205.0,7.9,26.0,5.5,1.22,0.026829268292682926
2276,AH Huzarensalade,1.99,145.0,7.8,16.0,2.1,0.32999999999999996,0.014482758620689656
2277,Iglo Roerbaksensatie ravioli mediterraan,4.45,107.0,4.4,13.0,3.1,0.9800000000000001,0.02897196261682243
2279,AH Verse pasta carbonara,5.29,146.0,6.4,17.0,4.7,1.17,0.03219178082191781
2280,Johma Rundvlees salade,2.35,171.0,10.3,14.9,3.4,0.47000000000000003,0.019883040935672513
2282,AH Pie runderstoof ui,2.79,258.0,15.0,22.0,7.9,1.3900000000000001,0.030620155038759693
2283,Bonduelle Lunchbowl bulgur,2.99,130.0,,22.0,4.7,1.19,0.036153846153846154
2284,Rustlers Cheeseburger 2-pack,2.99,266.0,13.6,22.2,12.4,1.06,0.04661654135338346
2285,Bonduelle Lunchbowl spelt,2.99,126.0,2.2,20.0,4.7,1.19,0.0373015873015873
2286,AH Saladeschotel huzaren,1.49,139.0,7.9,14.0,2.3,0.37,0.016546762589928057
2288,Iglo Roerbaksensatie tagliatelle funghi,4.39,173.0,8.2,19.0,,0.97,
2289,AH Stamppot zuurkool rookworst,3.99,91.0,4.3,,3.3,0.79,0.03626373626373626
2290,AH Verse stamppot witlof ham kaas,4.49,76.0,3.5,,3.5,0.8099999999999999,0.046052631578947366
2291,AH Maaltijdsalade Marokkaanse kip,4.99,155.0,9.3,10.0,6.4,1.1,0.04129032258064516
2293,AH Maaltijdsalade Mexicaanse kip,4.99,100.0,3.1,9.5,7.2,1.1,0.07200000000000001
2294,AH Pastasaus Funghi,2.29,109.0,,6.7,0.4,1.01,0.003669724770642202
2295,AH Hollandse stamppot hutspot met rookworst,3.99,100.0,4.4,11.0,3.2,0.79,0.032
2297,Dr. Oetker Ristorante pizza prosciutto,3.79,224.0,9.3,24.0,10.0,1.1099999999999999,0.044642857142857144
2300,AH Rode biet gehaktbal,4.79,109.0,4.9,12.0,3.5,0.95,0.03211009174311927
2307,AH Stoomsoep tom kha kai,4.89,128.0,6.2,12.0,5.4,1.08,0.0421875
2308,AH Foe yong hai,2.59,99.0,4.1,9.7,5.4,1.29,0.05454545454545455
2310,Bonduelle Lunchbowl quinoa,2.99,122.0,3.1,17.0,4.6,1.19,0.03770491803278688
2311,AH Bami goreng,3.69,158.0,4.9,22.0,5.7,0.36,0.036075949367088606
2312,Vegetarische Slager Bapao no beef ketjap,1.19,223.0,3.7,38.9,7.5,0.99,0.033632286995515695
2313,Koopmans Mix voor oma's pannenkoeken met kaneel,1.55,173.0,3.9,27.0,6.7,0.38,0.03872832369942197
2316,AH Maaltijdsalade gerookte kip appel,4.99,123.0,4.4,15.0,5.6,1.1,0.04552845528455284
2318,La Tua Farina Bloem voor pizzadeeg,1.29,345.0,1.5,69.0,12.2,0.25,0.03536231884057971
2319,AH Quiche courgette walnoot,3.69,232.0,14.0,18.0,,1.23,
2320,Iglo Ping & klaar gegrilde kipfilet met rsti,4.35,133.0,5.1,15.0,5.6,1.1099999999999999,0.042105263157894736
2321,AH Pureersoep zoete aardappel paprika,2.77,47.0,1.3,7.2,0.9,0.76,0.019148936170212766
2323,AH Maaltijdsalade kip ketjap,4.99,114.0,3.3,13.0,7.3,1.1,0.06403508771929825
2324,AH Huzaren salade,1.89,126.0,5.8,16.0,1.8,0.18,0.014285714285714285
2325,AH Pizza funghi,4.99,234.0,12.0,24.0,6.8,1.4,0.02905982905982906
2326,AH Verse stamppot andijvie,4.49,92.0,4.4,8.9,3.6,0.89,0.0391304347826087
2327,AH Cordon bleu met spinazie,4.79,101.0,4.9,9.2,4.1,0.95,0.04059405940594059
2329,AH Aardappel salade,1.89,170.0,11.0,15.0,1.7,0.18,0.01
2331,Johma Huzarensalade,1.99,161.0,9.8,15.3,1.6,0.39,0.009937888198757764
2333,AH Stoommaaltijd kip tandoori,4.89,93.0,3.1,10.0,5.6,1.24,0.06021505376344086
2334,AH Lasagne bolognese,3.59,137.0,4.9,16.0,6.6,0.89,0.04817518248175182
2335,AH Basis maaltijdsalade gegrilde kip,2.99,105.0,5.1,,5.3,0.6599999999999999,0.05047619047619047
2337,Dr. Oetker Ristorante pizza piccola margherita,4.25,244.0,11.0,25.0,10.0,1.5699999999999998,0.040983606557377046
2339,Magioni Courgette pizzabodem,3.99,220.0,2.4,41.0,7.4,1.02,0.03363636363636364
2340,Dr. Oetker Bistro baguette salami,1.99,232.0,,28.0,8.9,0.79,0.03836206896551724
2341,AH Verse tortelloni formaggio e noci,1.49,313.0,8.9,47.0,9.7,0.9099999999999999,0.030990415335463258
2342,Koopmans Schudfles pannenkoeken origineel,1.55,171.0,3.7,27.0,6.7,0.8800000000000001,0.0391812865497076
2343,Jan Pannenkoeken naturel,3.49,205.0,6.4,28.4,7.5,0.51,0.036585365853658534
2344,AH Stoommaaltijd pasta pesto,4.89,138.0,7.9,12.0,4.3,1.24,0.03115942028985507
2345,Wagner Piccolinis mini pizza 3 soorten kaas,2.69,293.0,13.6,30.1,11.8,0.99,0.04027303754266212
2347,Dr. Oetker Mini pizza salami,3.79,266.0,13.0,26.0,9.8,1.1800000000000002,0.0368421052631579
2348,Dr. Oetker The good baker pizza broccoli & mushroom,4.29,187.0,6.1,23.0,8.8,1.17,0.04705882352941177
2349,Dr. Oetker Ristorante pizza spinazie,3.99,215.0,11.0,21.0,7.2,1.02,0.03348837209302326
2357,AH Hollandse stamppot boerenkool,3.99,110.0,4.6,12.0,4.3,0.79,0.039090909090909086
2364,AH Hollandse stamppot bloemkool-broccoli,3.99,108.0,5.3,10.0,4.2,0.79,0.03888888888888889
2366,AH Sate ajam,2.59,206.0,11.0,14.0,12.0,1.29,0.05825242718446602
2368,AH Maaltijdsalade garnalen,5.49,130.0,8.3,8.1,5.1,1.22,0.03923076923076923
2373,AH Pastasaus spinazie ricotta,2.29,78.0,,6.2,3.7,1.01,0.04743589743589744
2378,AH Groentequiche bloemkool,4.19,182.0,,15.0,8.5,1.3900000000000001,0.046703296703296704
2380,AH Runderlap met stoofpeertjes,4.79,89.0,2.6,12.0,3.8,0.95,0.04269662921348314
2382,AH Stoommaaltijd beef teriyaki,4.89,89.0,1.9,11.0,6.5,1.33,0.07303370786516854
2383,Iglo Roerbaksensatie paella kipfilet garnalen,5.39,95.0,2.4,14.0,3.8,1.19,0.04
2384,AH Rundvleessalade,1.79,170.0,11.0,13.0,,0.44000000000000006,
2385,AH Pancake choc chip,2.39,360.0,19.0,40.0,6.4,1.3199999999999998,0.017777777777777778
2387,Koopmans Mix voor pannenkoeken volkoren,1.39,179.0,5.4,23.0,8.5,0.33999999999999997,0.04748603351955307
2388,AH Nasi babi pangang,4.59,151.0,5.3,20.0,5.3,1.02,0.03509933774834437
2389,Koopmans Mix voor pannenkoeken meergranen,1.29,169.0,3.9,26.0,6.8,0.32,0.040236686390532544
2390,Dr. Oetker Ristorante pizza mozzarella glutenvrij,4.59,230.0,11.0,22.0,10.0,1.24,0.043478260869565216
2391,AH Stoommaaltijd kip rozemarijn,4.89,93.0,3.8,7.3,6.7,1.33,0.07204301075268818
2392,AH Maaltijdsalade gerookte zalm,5.49,130.0,7.9,,5.3,1.22,0.040769230769230766
2393,AH Broodje hotdog,1.65,248.0,13.0,23.0,9.3,0.75,0.037500000000000006
2394,Dr. Oetker Ristorante pizza salami glutenvrij,4.59,250.0,11.0,26.0,11.0,1.45,0.044
2395,Jan Poffertjes met boter en suiker,3.19,315.0,18.8,29.6,6.2,0.95,0.019682539682539683
2396,AH Mix voor Pannenkoeken compleet,1.15,145.0,0.9,29.0,4.3,0.27999999999999997,0.0296551724137931
2398,AH Pizza spianata romana,4.99,239.0,11.0,25.0,9.4,1.53,0.03933054393305439
2400,Dr. Oetker La margherita pizza classica,2.95,240.0,6.2,35.0,9.6,1.1099999999999999,0.04
2401,AH Hachee rodekool aardappelpuree,4.49,95.0,2.9,13.0,3.5,0.89,0.03684210526315789
2402,Iglo Roerbaksensatie tagliatelle met zalm,5.75,89.0,2.7,10.0,5.6,1.27,0.06292134831460673
2403,AH Maaltijdsalade mozzarella,4.99,173.0,13.0,8.3,4.9,1.1,0.02832369942196532
2404,Dr. Oetker Ristorante pizza bolognese,3.49,200.0,7.8,23.0,8.4,0.93,0.042
2407,Dr. Oetker Big americans pizza Texas,4.69,254.0,9.5,31.0,10.0,1.0699999999999998,0.03937007874015748
2408,AH Mihoen,3.69,122.0,5.1,15.0,3.4,1.23,0.027868852459016394
2409,AH Bami babi pangang,4.59,149.0,5.2,19.0,6.2,1.02,0.04161073825503356
2411,AH Babi pangang,2.59,137.0,6.8,12.0,6.5,1.29,0.04744525547445255
2412,AH Mix voor pannenkoeken meergranen,0.55,176.0,3.2,28.0,7.9,0.13,0.04488636363636364
2415,AH Pannenkoeken naturel voordeel,4.49,227.0,11.0,26.0,5.5,0.41,0.024229074889867842
2416,AH Verse tagliolini bicolore con spinaci,1.49,318.0,2.4,60.0,12.0,0.9099999999999999,0.03773584905660377
2418,AH Quiche tomaat mozzarella volkoren bodem,3.69,238.0,15.0,15.0,9.2,1.23,0.038655462184873944
2423,AH Pannenkoeken volkoren,2.79,243.0,14.0,20.0,6.2,0.77,0.02551440329218107
2424,AH Bapao kip,0.65,239.0,5.5,40.0,6.5,0.27,0.027196652719665274
2427,AH Pastasaus 5 kazen,2.29,150.0,11.0,6.3,5.9,1.01,0.03933333333333334
2430,Dr. Oetker Ristorante pizza diavola,3.49,236.0,11.0,24.0,9.1,0.99,0.0385593220338983
2431,AH Maaltijdsalade mango hazelnoten,4.99,158.0,11.0,11.0,2.4,1.24,0.015189873417721518
2436,AH Nasi sate ajam,4.59,151.0,6.6,17.0,4.7,1.02,0.03112582781456954
2437,AH Pizza kaas tomaat,1.09,274.0,13.0,29.0,,0.36,
2438,AH Bapao rundvlees,0.65,250.0,6.5,40.0,7.2,0.27,0.0288
2439,AH Biologisch Verse tagliatelle all'uovo,2.39,279.0,2.4,52.0,11.0,0.95,0.03942652329749104
2440,AH Gele wortel nasi,1.99,34.0,0.3,5.2,,0.49000000000000005,
2442,AH Verse pappardelle all'uovo,2.19,285.0,,53.0,10.0,0.8699999999999999,0.03508771929824561
2443,AH Quiche mediterrane groente,3.69,221.0,13.0,18.0,7.2,1.23,0.03257918552036199
2444,Dr. Oetker Casa di mama pizza salami,3.99,230.0,8.5,28.0,9.5,1.02,0.041304347826086954
2445,AH Stoommaaltijd zalm roomsaus,4.89,,,,,1.48,
2446,AH Hollandse stamppot andijvie,3.99,106.0,4.6,12.0,3.4,0.79,0.03207547169811321
2447,Wagner Piccolinis mini pizza tomaat mozzarella,2.69,220.0,,29.5,8.7,0.99,0.03954545454545454
2448,AH Pizza margherita,4.59,223.0,8.9,26.0,9.1,1.48,0.04080717488789237
2449,AH Maaltijdsalade geitenkaas,4.99,156.0,9.3,12.0,4.9,1.1,0.03141025641025641
2451,AH Verse ravioli ai funghi,2.29,277.0,7.1,43.0,8.6,0.9099999999999999,0.031046931407942235
2452,AH Bami,3.19,161.0,4.3,24.0,,1.06,
2455,AH Gnocchi van aardappel,1.99,153.0,0.3,33.0,,0.39,
2457,AH Bami sate ajam,4.59,163.0,6.4,20.0,5.8,1.02,0.035582822085889566
2461,AH Pastasaus carbonara,2.29,110.0,7.5,5.7,4.9,1.01,0.04454545454545455
2462,Iglo Roerbaksensatie pasta kipfilet boursin,4.59,146.0,7.3,13.0,6.5,1.02,0.04452054794520548
2463,AH Mini worstenbroodjes,1.79,260.0,6.3,39.0,11.0,0.74,0.04230769230769231
2464,Dr. Oetker Ristorante pizza funghi,3.49,222.0,11.0,22.0,,0.95,
2465,Dr. Oetker Ristorante pizza speciale,3.45,236.0,11.0,23.0,11.0,1.0,0.046610169491525424
2467,AH Pizzabodem houtoven,2.99,225.0,6.2,36.0,5.3,0.5900000000000001,0.023555555555555555
2472,AH Pastasaus pomod basil,2.29,81.0,4.8,6.9,,1.01,
2474,AH Nasi,3.19,160.0,4.5,25.0,4.5,1.06,0.028125
2475,AH Verse ravioli formaggio e pomodoro,2.29,278.0,6.9,43.0,9.1,0.9099999999999999,0.032733812949640284
2477,AH Verse ravioli bolognese,1.49,279.0,6.2,46.0,8.3,0.9099999999999999,0.029749103942652334
2481,AH Quiche kip pesto spinazie,3.69,241.0,15.0,16.0,9.7,1.23,0.040248962655601656
2485,AH Pastasaus napolitana,2.29,55.0,2.6,6.1,1.2,1.01,0.021818181818181816
2486,AH Pannenkoekmix,0.55,177.0,3.3,28.0,7.9,0.13,0.04463276836158192
2490,AH Quiche spinazie geitenkaas,3.69,222.0,13.0,17.0,8.5,1.23,0.038288288288288286
2492,Dr. Oetker Ristorante pizza pollo,3.25,206.0,,23.0,8.9,0.9099999999999999,0.04320388349514563
2494,Wagner Piccolinis mini pizza salami,2.69,256.0,10.3,29.6,10.1,0.99,0.039453125
2495,Koopmans Mix voor pannenkoeken compleet,1.39,160.0,2.7,29.0,4.8,0.33999999999999997,0.03
2496,Dr. Oetker Ristorante pizza quattro formaggi,3.35,251.0,12.0,24.0,11.0,0.9800000000000001,0.043824701195219126
2497,Van Gilse Poedersuiker,1.09,396.0,,99.0,,0.43,
2498,AH Lasagne all uovo,2.29,285.0,,53.0,10.0,0.9099999999999999,0.03508771929824561
2500,Dr. Oetker Ristorante pizza tonno,2.99,227.0,9.7,23.0,10.0,0.8400000000000001,0.04405286343612335
2502,Dr. Oetker Ristorante pizza salami mozzarella pesto,3.49,252.0,13.0,22.0,9.2,0.96,0.0365079365079365
2509,Van Gilse Schenkstroop,1.55,288.0,,72.0,,0.25,
2511,AH Verse gnocchi,2.69,143.0,0.3,31.0,2.3,0.67,0.016083916083916083
2513,AH Bapao kipsate,1.09,253.0,6.5,39.0,8.5,0.9,0.03359683794466403
2514,AH Verse tortelloni verdi ricotta e spinaci,2.39,279.0,,39.0,10.0,0.95,0.035842293906810034
2515,Dr. Oetker Ristorante pizza margherita,3.49,253.0,11.0,27.0,10.0,1.1800000000000002,0.039525691699604744
2517,Tante Fanny Vers flammkuchendeeg,1.99,264.0,3.7,47.0,7.8,0.76,0.029545454545454545
2518,AH Verse ravioli 5 formaggio,2.29,292.0,8.7,42.0,9.9,0.9099999999999999,0.033904109589041095
2519,Dr. Oetker Ristorante pizza hawaii,2.99,208.0,7.6,25.0,8.7,0.8400000000000001,0.041826923076923074
2520,AH Quiche lorraine,3.69,247.0,16.0,16.0,9.5,1.23,0.038461538461538464
2523,AH Pizzadeeg,1.99,282.0,6.5,46.0,7.1,0.86,0.025177304964539005
2527,Dr. Oetker Ristorante pizza mozzarella,2.99,238.0,11.0,23.0,10.0,0.8400000000000001,0.04201680672268908
2530,Koopmans Mix voor pannenkoeken origineel,1.19,174.0,3.8,28.0,6.9,0.29,0.039655172413793106
2531,AH Pastasaus tomaat mascarpone,2.29,85.0,5.5,5.8,2.4,1.01,0.028235294117647056
2533,AH Verse spaghetti all'uovo,2.19,285.0,,53.0,10.0,0.8699999999999999,0.03508771929824561
2538,AH Verse tagliatelle all'uovo,2.29,285.0,,53.0,10.0,0.9099999999999999,0.03508771929824561
2540,AH Banaan spelt pancake,2.19,277.0,13.0,33.0,6.3,1.3599999999999999,0.022743682310469315
2541,AH Pizzadeeg tomatensaus,1.99,189.0,3.4,30.0,6.7,0.32999999999999996,0.03544973544973545
2546,Tony's Chocolonely Chocolademelk,2.39,85.0,2.3,12.4,3.4,0.22999999999999998,0.04
2549,Valle del sole Coconut milk extra creamy,3.35,170.0,17.0,,1.5,0.32999999999999996,0.008823529411764706
2550,Bonne Maman Mousse au chocolat dark intense,2.69,,26.0,15.0,7.9,1.34,
2551,AH Barista amandel,1.59,38.0,,3.6,1.2,0.31,0.031578947368421054
2552,Ben & Jerry's Cookie dough s'wich up,6.99,248.0,14.0,27.0,3.7,1.5,0.014919354838709677
2553,AH Cheesecake met zwarte bessen topping,2.29,245.0,12.0,31.0,2.5,1.1400000000000001,0.01020408163265306
2554,Almhof Plantaardig dessert chocolade,1.79,111.0,4.2,16.9,1.2,0.99,0.01081081081081081
2556,Lotus Biscoff speculoos melkchocolade ijsstick,2.5,440.0,29.0,41.0,3.4,0.99,0.007727272727272727
2557,Gü Chocolate & salted caramel cheesecakes,3.29,396.0,24.0,42.0,3.6,1.7899999999999998,0.00909090909090909
2558,Wunda Plantaardige drank original,1.49,35.0,1.4,2.4,2.2,0.29,0.06285714285714286
2559,Gouda's Glorie Smeerbaar met roomboter,2.39,635.0,70.0,0.8,0.5,0.95,0.0007874015748031496
2560,Bonne Maman Creme brulee,2.69,,15.0,21.0,4.5,1.34,
2562,Magnum Almond remix pint,4.89,323.0,18.0,34.0,4.3,1.1099999999999999,0.013312693498452011
2563,Ben & Jerry's Twist Dough-ble Chocolate Cookie Dough,6.99,247.0,16.0,23.0,3.3,1.5,0.013360323886639675
2564,Almhof Plantaardig dessert vanille,1.79,110.0,4.1,16.7,1.1,0.99,0.01
2565,Ben & Jerry's Non-dairy salted caramel brownie,6.79,239.0,11.0,34.0,1.7,1.46,0.007112970711297071
2566,Echte Boter Gezouten,3.79,738.0,80.0,,,1.51,
2567,Alpro Haver amandeldrink,2.89,23.0,,2.4,0.4,0.27999999999999997,0.017391304347826087
2568,Ben & Jerry's Netflix & chilll'd,6.99,240.0,14.0,24.0,4.3,1.5,0.017916666666666668
2569,Ben & Jerry's Moophoria choco cookie dough,6.99,216.0,6.7,34.0,4.6,1.5,0.021296296296296296
2570,Den Eelder Boeren volle kwark,2.25,128.0,,,7.8,0.45,0.0609375
2571,Den Eelder Boeren magere kwark,1.89,57.0,0.5,,,0.37,
2573,Boeren van Amstel Melk vol,2.09,72.0,4.3,4.5,3.6,0.2,0.05
2574,AH Soja topping,1.55,256.0,22.0,14.0,0.5,0.62,0.001953125
2576,AH Plantaardig dessert tiramisu,1.29,231.0,7.5,35.0,1.4,1.35,0.006060606060606061
2577,Devon Cream Company English clotted cream,3.39,519.0,56.0,2.2,1.6,1.9899999999999998,0.0030828516377649326
2579,Alpro Coconut kokosnootdrink,2.79,20.0,0.9,2.7,0.1,0.27,0.005
2580,Oatly! Haverdrank orange mango,2.19,60.0,0.5,11.0,,0.21000000000000002,
2582,AH Kokos keuken,0.99,97.0,,3.1,0.8,0.49000000000000005,0.008247422680412371
2583,Hertog Ijssalon Cookie Crumble,3.49,205.0,8.6,27.0,3.4,0.55,0.016585365853658537
2584,Ben & Jerry's Caramel chew chew,1.89,276.0,16.0,30.0,3.5,1.89,0.012681159420289856
2585,Abbot kinney's Coco greek style,3.29,127.0,11.0,3.8,,0.9400000000000001,
2586,Danio Vegan aardbei,3.19,122.0,6.9,13.7,0.7,0.9099999999999999,0.005737704918032787
2587,Chocomel Vers,1.33,73.0,1.6,11.1,3.2,0.2,0.043835616438356165
2588,Ben & Jerry's The classic cool-lection mini,5.75,276.0,16.0,31.0,4.3,1.4300000000000002,0.015579710144927535
2591,Alpro Kokosnoot amandeldrink,2.89,24.0,1.3,2.5,0.3,0.27999999999999997,0.012499999999999999
2592,Bon Coco Kokoscreme,1.59,,,,,0.79,
2593,Häagen-Dazs Macadamia nut brittle ijs,5.99,264.0,16.4,25.1,3.9,1.3,0.014772727272727272
2594,AH Geklaarde boter,2.29,900.0,100.0,0.01,,1.83,
2595,Oatly! Haverdrank vanille,2.39,65.0,2.6,9.1,,0.22999999999999998,
2596,Wunda Plantaardige chocolade drank 3-pack,2.39,47.0,1.4,5.7,2.1,0.33999999999999997,0.04468085106382979
2597,AH Roomboter gezouten,1.89,725.0,80.0,0.6,0.7,1.51,0.0009655172413793102
2598,Le Gall Kookroom,1.79,188.0,18.0,3.9,2.6,0.89,0.013829787234042554
2599,Yogho! Yogho! Perzikio!,2.45,58.0,1.6,7.9,2.8,0.24,0.04827586206896552
2600,Häagen-Dazs Belgian chocolate ijs,5.99,306.0,19.9,25.9,4.5,1.3,0.014705882352941176
2601,AH Variatie op yoghurt griekse stijl,1.79,62.0,1.9,6.4,4.6,0.44000000000000006,0.07419354838709677
2602,Remia Bakken & braden met 20% olijfolie,2.35,881.0,97.0,1.2,0.7,0.58,0.0007945516458569806
2603,Ben & Jerry's Cookie vermont-ster sundae,7.29,298.0,17.0,32.0,4.1,1.7,0.013758389261744965
2604,Hertog Citroentaart meringue ijssalon,3.28,163.0,4.1,29.0,1.7,0.52,0.010429447852760737
2605,Magnum White chocolate & cookies pint,5.29,343.0,21.0,32.0,4.8,1.2,0.013994169096209912
2606,AH Labneh,2.75,140.0,6.6,15.0,4.9,1.83,0.035
2607,AH Rozemarijn zeezout boter,1.99,708.0,78.0,,0.4,1.9899999999999998,0.0005649717514124294
2608,Lotus Biscoff speculoos witte chocola ijsstick,2.5,436.0,29.0,41.0,3.3,0.96,0.007568807339449541
2609,Almhof Chocolademousse,1.69,178.0,6.3,24.8,5.3,0.8,0.029775280898876405
2610,AH Plantaardig dessert chocolade mousse,1.29,253.0,12.0,30.0,1.5,1.4300000000000002,0.005928853754940711
2611,Lois Harmony Bio Ghee (Geklaarde Boter),4.99,895.0,99.8,,,2.2600000000000002,
2613,AH Plantaardig variatie yoghurt kokos mango,2.89,140.0,11.0,8.7,1.1,0.96,0.007857142857142858
2615,Remia Bakken & Braden,2.99,882.0,97.0,1.1,0.7,0.45999999999999996,0.0007936507936507937
2616,Abbot kinney's Best of plants chocolate,2.89,72.0,2.2,11.3,1.1,0.27999999999999997,0.015277777777777779
2617,AH Romige kwark roodfruit,1.65,106.0,3.7,12.0,,0.36,
2618,MinusL Lactosevrije koffieroom 10%,2.49,120.0,10.0,4.3,3.1,1.5,0.025833333333333333
2619,Bon Coco Biologische kokosmelk light,1.79,62.0,,,,0.44000000000000006,
2620,AH Smeerbaar met olijfolie,2.19,630.0,70.0,0.03,,0.54,
2622,Zuivelhoeve Boern yoghurt special,2.99,105.0,3.4,14.0,4.3,0.35,0.04095238095238095
2623,AH Haver keuken,0.99,96.0,7.5,6.2,0.7,0.49000000000000005,0.007291666666666666
2624,Van Gils Vanille ijsrol,1.99,207.0,10.4,25.2,3.3,0.19,0.015942028985507246
2625,Oatly! Havergurt bosbes,2.69,101.0,3.3,16.0,1.3,0.67,0.012871287128712872
2626,Magnum Almond,5.39,349.0,22.0,33.0,,1.22,
2627,Abbot kinney's Coco daily delight naturel,2.89,92.0,,4.9,0.9,0.82,0.009782608695652175
2628,AH Roomijs pecan caramel,2.59,236.0,12.0,29.0,2.9,0.25,0.012288135593220338
2629,Ben & Jerry's Karamel sutra core,6.99,230.0,13.0,24.0,3.7,1.5,0.01608695652173913
2630,Oppo Brothers Vanilla caramel brownie,5.49,81.0,3.7,10.0,2.6,1.15,0.03209876543209877
2631,Alpro Plant protein,2.39,57.0,2.8,2.5,,0.22999999999999998,
2632,Häagen-Dazs Salted caramel ijs,5.99,282.0,17.2,27.8,4.1,1.3,0.01453900709219858
2633,AH Cheesecake new york,2.29,330.0,19.0,34.0,,1.4300000000000002,
2634,Hertog Ijssalon amarena-kers vanille,3.49,178.0,5.9,29.0,1.7,0.55,0.009550561797752809
2635,Becel Proactiv light cholesterolverlagend,7.49,214.0,23.0,2.3,0.5,1.49,0.002336448598130841
2636,Alpro Plant protein chocolate,2.49,69.0,2.8,5.3,,0.24,
2637,Fairtrade Original Organic coconut milk,4.19,160.0,17.0,0.8,,0.41,
2638,Ben & Jerry's Hazel-nuttin but chocolate sundae,7.29,292.0,17.0,30.0,4.3,1.7,0.014726027397260274
2639,Ben & Jerry's Twist Rain-Dough Cookie Dough,6.89,274.0,17.0,27.0,3.8,1.48,0.01386861313868613
2640,Go-Tan Easy coconut milk lower in fat,2.79,80.0,,,0.8,0.55,0.01
2641,Magnum Vegan classic,4.49,330.0,20.0,34.0,1.6,1.6600000000000001,0.0048484848484848485
2643,AH Chocolade roomijs,2.39,229.0,13.0,23.0,3.9,0.22999999999999998,0.01703056768558952
2646,HiPRO Protein drink vanille,1.69,51.0,0.1,4.9,7.6,0.6799999999999999,0.14901960784313725
2647,Oppo Brothers Double salted caramel,5.49,82.0,3.5,10.0,2.5,1.15,0.03048780487804878
2648,Halotop Chocolate chip cookie dough,4.39,135.0,4.1,24.0,4.3,1.19,0.03185185185185185
