web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665128149-23","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Liefde & Passie San Francisco","https://www.ah.nl/producten/product/wi417146/ah-liefde-en-passie-san-francisco","2.99","1047 kJ (247 kcal)","Vet1.1 g","Koolhydraten48 g","null","Eiwitten10 g"
"1665128151-24","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH vloerbrood wit","https://www.ah.nl/producten/product/wi417144/ah-vloerbrood-wit","2.69","1133 kJ (267 kcal)","Vet1.6 g","Koolhydraten53 g","null","Eiwitten9.4 g"
"1665128153-25","https://www.ah.nl/producten/bakkerij-en-banket?page=40","Soma Haverkorn meergr","https://www.ah.nl/producten/product/wi416973/soma-haverkorn-meergr","2.19","1092 kJ (262 kcal)","Vet12 g","Koolhydraten24 g","Prijs per KG € 5,48","Eiwitten9.9 g"
"1665128155-26","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH maatbeker 1ltr","https://www.ah.nl/producten/product/wi413850/ah-maatbeker-1ltr","2.49","null","null","null","null","null"
"1665128158-27","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH disp spuitzakken met mondjes","https://www.ah.nl/producten/product/wi413843/ah-disp-spuitzakken-met-mondjes","4.39","null","null","null","null","null"
"1665128160-28","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Pannenlikker hout","https://www.ah.nl/producten/product/wi413822/ah-pannenlikker-hout","3.19","null","null","null","null","null"
"1665128162-29","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Bakkwast hout","https://www.ah.nl/producten/product/wi413820/ah-bakkwast-hout","2.99","null","null","null","null","null"
"1665128164-30","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Ah ciabattina rozijn wit","https://www.ah.nl/producten/product/wi403995/ah-ah-ciabattina-rozijn-wit","0.39","2.2 g","Vet2.2 g","Koolhydraten55 g","null","Eiwitten6.9 g"
"1665128167-31","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Schnittbroodje bruin","https://www.ah.nl/producten/product/wi385042/ah-schnittbroodje-bruin","0.25","1022 kJ (241 kcal)","Vet1.3 g","Koolhydraten45 g","null","Eiwitten10 g"
"1665128169-32","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Liefde & Passie Campagnard","https://www.ah.nl/producten/product/wi373936/ah-liefde-en-passie-campagnard","2.49","1200 kJ (284 kcal)","Vet4 g","Koolhydraten48 g","null","Eiwitten12 g"
"1665128172-33","https://www.ah.nl/producten/bakkerij-en-banket?page=40","Consenza Slagroompunten glutenvrij","https://www.ah.nl/producten/product/wi371612/consenza-slagroompunten-glutenvrij","5.59","1467 kJ (352 kcal)","Vet22.2 g","Koolhydraten30.5 g","Prijs per KG € 27,95","Eiwitten6.3 g"
"1665128174-34","https://www.ah.nl/producten/bakkerij-en-banket?page=40","Consenza Appelpunten glutenvrij","https://www.ah.nl/producten/product/wi371606/consenza-appelpunten-glutenvrij","5.59","999 kJ (238 kcal)","Vet8.7 g12%","Koolhydraten36.1 g14%","Prijs per KG € 20,33","Eiwitten2.6 g5%"
"1665128176-35","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Bruine bol","https://www.ah.nl/producten/product/wi366090/ah-bruine-bol","1.09","1015 kJ (240 kcal)","Vet2.2 g","Koolhydraten43 g","null","Eiwitten9.8 g"
"1665128179-36","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Witte mini punt","https://www.ah.nl/producten/product/wi366089/ah-witte-mini-punt","1.05","1061 kJ (250 kcal)","Vet1.9 g","Koolhydraten48 g","null","Eiwitten9.5 g"
"1665128181-37","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Baguette","https://www.ah.nl/producten/product/wi366073/ah-baguette","0.65","1103 kJ (260 kcal)","Vet0.8 g","Koolhydraten53 g","null","Eiwitten8.9 g"
"1665128183-38","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Luxe croissant","https://www.ah.nl/producten/product/wi365995/ah-luxe-croissant","0.89","1812 kJ (434 kcal)","Vet24 g","Koolhydraten45 g","null","Eiwitten8.7 g"
"1665128185-39","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Kasteeltjes","https://www.ah.nl/producten/product/wi358418/ah-kasteeltjes","3.00","1626 kJ (387 kcal)","Vet13 g","Koolhydraten62 g","null","Eiwitten3.7 g"
"1665128188-40","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Turksbrood","https://www.ah.nl/producten/product/wi248659/ah-turksbrood","1.35","845 kJ (199 kcal)","Vet0.8 g","Koolhydraten41 g","null","Eiwitten6.4 g"
"1665128190-41","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Stevig grof volkoren heel","https://www.ah.nl/producten/product/wi233492/ah-stevig-grof-volkoren-heel","2.59","968 kJ (229 kcal)","Vet1.5 g","Koolhydraten38 g","null","Eiwitten12 g"
"1665128192-42","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Stevig grof volkoren half","https://www.ah.nl/producten/product/wi233382/ah-stevig-grof-volkoren-half","1.35","925 kJ (220 kcal)","Vet1.5 g","Koolhydraten37 g","null","Eiwitten11 g"
"1665128195-43","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Oatmeal cookie","https://www.ah.nl/producten/product/wi231926/ah-oatmeal-cookie","1.50","1718 kJ (409 kcal)","Vet16 g","Koolhydraten58 g","null","Eiwitten6.5 g"
"1665128197-44","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Chocoladebroodje","https://www.ah.nl/producten/product/wi231924/ah-chocoladebroodje","0.45","1507 kJ (360 kcal)","Vet18 g","Koolhydraten41 g","null","Eiwitten7.2 g"
"1665128199-45","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Rocky road","https://www.ah.nl/producten/product/wi231696/ah-rocky-road","0.89","1673 kJ (400 kcal)","Vet19 g","Koolhydraten52 g","null","Eiwitten4 g"
"1665128201-46","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Mini donuts choco","https://www.ah.nl/producten/product/wi231677/ah-mini-donuts-choco","0.25","453 kcal (1884 kJ)","Vet29 g","Koolhydraten37 g","null","Eiwitten6 g"
"1665128204-47","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Mini donuts","https://www.ah.nl/producten/product/wi231676/ah-mini-donuts","0.25","null","null","null","null","null"
"1665128206-48","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Les Pains Bastille volkoren half","https://www.ah.nl/producten/product/wi231537/ah-les-pains-bastille-volkoren-half","1.29","1066 kJ (253 kcal)","Vet4.8 g","Koolhydraten34 g","null","Eiwitten15 g"
"1665128208-49","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Tijgerbrood wit half","https://www.ah.nl/producten/product/wi231536/ah-tijgerbrood-wit-half","1.05","1025 kJ (242 kcal)","Vet1.3 g","Koolhydraten48 g","null","Eiwitten8.7 g"
"1665128211-50","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Ah tijgerbrood bruin hf","https://www.ah.nl/producten/product/wi231535/ah-ah-tijgerbrood-bruin-hf","1.05","972 kJ (230 kcal)","Vet1.6 g","Koolhydraten42 g","null","Eiwitten9.5 g"
