web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665117827-136","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Ah mini hamburgers 10st","https://www.ah.nl/producten/product/wi166449/ah-ah-mini-hamburgers-10st","4.89","1167 kJ (281 kcal)","Vet22 g","Koolhydraten2.6 g","Prijs per KG € 19,56","Eiwitten18 g"
"1665117829-137","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Wilde zalmfilets","https://www.ah.nl/producten/product/wi141565/ah-wilde-zalmfilets","6.99","416 kJ (99 kcal)","Vet2.5 g","Koolhydraten0 g","Prijs per KG € 10,36","Eiwitten19 g"
"1665117831-138","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Ah vetspek stukje","https://www.ah.nl/producten/product/wi132214/ah-ah-vetspek-stukje","1.92","3114 kJ (757 kcal)","Vet83 g","Koolhydraten0.5 g","Prijs per KG € 8,19","Eiwitten2 g"
"1665117834-139","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Maatjesharing filet met uitjes","https://www.ah.nl/producten/product/wi121444/ah-maatjesharing-filet-met-uitjes","2.69","622 kJ (149 kcal)","Vet8.5 g","Koolhydraten1 g","null","Eiwitten17 g"
"1665117836-140","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Biologisch Rundersoepballetjes","https://www.ah.nl/producten/product/wi118764/ah-biologisch-rundersoepballetjes","2.72","989 kJ (238 kcal)","Vet17 g","Koolhydraten2.1 g","Normale prijs per KG € 13,18","Eiwitten19 g"
"1665117839-141","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Rundersoeppakket","https://www.ah.nl/producten/product/wi40707/ah-rundersoeppakket","5.19","804 kJ (193 kcal)","Vet14 g","Koolhydraten0.8 g","Prijs per KG € 12,98","Eiwitten16 g"
"1665117842-142","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Heinz Tomaten Ketchup met AH braadworst","https://www.ah.nl/producten/product/wi538639/heinz-tomaten-ketchup-met-ah-braadworst","4.35","null","null","null","null","null"
"1665117844-143","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Zalmtartaar","https://www.ah.nl/producten/product/wi517046/ah-zalmtartaar","3.49","692 kJ (165 kcal)","Vet8.4 g","Koolhydraten0.4 g","Prijs per KG € 34,90","Eiwitten22 g"
"1665117846-144","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Seasogood Visvrije tonijn tomaat","https://www.ah.nl/producten/product/wi519702/seasogood-visvrije-tonijn-tomaat","3.19","130 kcal (548 kJ)","Vet6.6 g","Koolhydraten4.6 g","Prijs per KG € 23,63","Eiwitten11 g"
"1665117849-145","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Fish Tales Witte tonijn in biologische olijfolie","https://www.ah.nl/producten/product/wi496874/fish-tales-witte-tonijn-in-biologische-olijfolie","3.19","193 kcal (809 kJ)","Vet9 g","Koolhydraten< 0.5 g","Prijs per KG € 40,90","Eiwitten28 g"
"1665117851-146","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Delby's Escargots","https://www.ah.nl/producten/product/wi195658/delby-s-escargots","3.79","89 kcal (377 kJ)","Vet15 g","Koolhydraten0.6 g","Prijs per KG € 42,11","Eiwitten18.3 g"
"1665117853-147","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","John West Extravita gember & kurkuma tonijn","https://www.ah.nl/producten/product/wi514129/john-west-extravita-gember-en-kurkuma-tonijn","3.19","731 kJ (174 kcal)","Vet7.8 g","Koolhydraten1 g","Prijs per KG € 26,58","Eiwitten25 g"
"1665117856-148","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Taste of the World Scharrel kwartel","https://www.ah.nl/producten/product/wi485305/taste-of-the-world-scharrel-kwartel","6.39","780 kJ (185 kcal)","Vet12 g","Koolhydraten0 g","null","Eiwitten20 g"
"1665117858-149","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Vegan chicken tenders","https://www.ah.nl/producten/product/wi523337/ah-vegan-chicken-tenders","2.69","868 kJ (207 kcal)","Vet10 g","Koolhydraten16 g","Prijs per KG € 13,45","Eiwitten12 g"
"1665117860-150","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Alif Rosbief lapjes tuinkruiden","https://www.ah.nl/producten/product/wi534801/alif-rosbief-lapjes-tuinkruiden","6.79","898 kJ (216 kcal)","Vet14.8 g","Koolhydraten0.2 g","Prijs per KG € 27,16","Eiwitten19 g"
"1665117862-151","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Wildzwijn biefstuk mosterdmarinade","https://www.ah.nl/producten/product/wi524862/ah-wildzwijn-biefstuk-mosterdmarinade","9.60","704 kJ (168 kcal)","Vet9.6 g","Koolhydraten0.4 g","Prijs per KG € 39,99","Eiwitten20 g"
"1665117865-152","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Boon Sate","https://www.ah.nl/producten/product/wi523338/boon-sate","3.99","936 kJ (224 kcal)","Vet10.4 g","Koolhydraten18.5 g","Prijs per KG € 13,30","Eiwitten11.3 g"
"1665117867-153","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Excellent Bakcamembert 4-pack","https://www.ah.nl/producten/product/wi520389/ah-excellent-bakcamembert-4-pack","5.40","null","null","null","null","null"
"1665117869-154","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Rio Mare Insalatissime tuna salad messicana","https://www.ah.nl/producten/product/wi410028/rio-mare-insalatissime-tuna-salad-messicana","6.99","200 kcal (833 kJ)","Vet13 g","Koolhydraten9.5 g","Normale prijs per KG € 21,84","Eiwitten10 g"
"1665117871-155","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Streeckgenoten Gepaneerde garnalen","https://www.ah.nl/producten/product/wi507387/streeckgenoten-gepaneerde-garnalen","1.99","1068 kJ (256 kcal)","Vet16 g","Koolhydraten14 g","Prijs per KG € 19,90","Eiwitten13 g"
"1665117874-156","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Ortiz Sardines Glas","https://www.ah.nl/producten/product/wi480681/ortiz-sardines-glas","4.49","780 kJ (187 kcal)","Vet10.5 g","Koolhydraten0 g","Prijs per KG € 23,63","Eiwitten23 g"
"1665117876-157","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Alif Steak reepjes shoarma","https://www.ah.nl/producten/product/wi534803/alif-steak-reepjes-shoarma","6.99","721 kJ (172 kcal)","Vet7.5 g","Koolhydraten5.1 g","Prijs per KG € 27,96","Eiwitten20 g"
"1665117878-158","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Alif Steak reepjes naturel","https://www.ah.nl/producten/product/wi534802/alif-steak-reepjes-naturel","6.79","650 kJ (155 kcal)","Vet7.2 g","Koolhydraten0 g","Prijs per KG € 27,16","Eiwitten21.2 g"
"1665117880-159","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Omar Biefstuk","https://www.ah.nl/producten/product/wi533528/omar-biefstuk","7.29","650 kJ (155 kcal)","Vet7.2 g","Koolhydraten0 g","Prijs per KG € 29,16","Eiwitten21.2 g"
"1665117883-160","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Omar Angus beef burger","https://www.ah.nl/producten/product/wi533526/omar-angus-beef-burger","4.99","918 kJ (219 kcal)","Vet17 g","Koolhydraten2.8 g","Prijs per KG € 19,96","Eiwitten14 g"
