web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665090301-25","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Vegan chicken masala","https://www.ah.nl/producten/product/wi533007/chef-martin-vegan-chicken-masala","5.69","516 kJ (123 kcal)","Vet3.1 g","Koolhydraten17.8 g","Prijs per KG € 11,61","Eiwitten5.1 g"
"1665090303-26","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Steenoven mini pizza 4-pack","https://www.ah.nl/producten/product/wi520816/ah-steenoven-mini-pizza-4-pack","13.56","null","null","null","null","null"
"1665090305-27","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Vega jambalaya pakket (Compleet)","https://www.ah.nl/producten/product/wi520144/ah-vega-jambalaya-pakket-compleet","9.00","null","null","null","null","null"
"1665090308-28","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH (kip) broodjes pakket","https://www.ah.nl/producten/product/wi519901/ah-kip-broodjes-pakket","2.58","null","null","null","null","null"
"1665090310-29","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Gesneden verspakket vega poke (Compleet)","https://www.ah.nl/producten/product/wi514758/ah-gesneden-verspakket-vega-poke-compleet","8.62","null","null","null","null","null"
"1665090312-30","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Streeckgenoten Tom kha kai soep","https://www.ah.nl/producten/product/wi515466/streeckgenoten-tom-kha-kai-soep","3.49","399 kJ (96 kcal)","Vet6.5 g","Koolhydraten5 g","Prijs per KG € 4,99","Eiwitten4.2 g"
"1665090314-31","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Vegetarische kip pizza met pompoen","https://www.ah.nl/producten/product/wi514067/ah-vegetarische-kip-pizza-met-pompoen","2.99","932 kJ (221 kcal)","Vet6 g","Koolhydraten31 g","Prijs per KG € 8,79","Eiwitten10 g"
"1665090317-32","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Consenza Saucijzenbrood","https://www.ah.nl/producten/product/wi508107/consenza-saucijzenbrood","4.19","1286 kJ (309 kcal)","Vet21 g","Koolhydraten23 g","Prijs per KG € 34,92","Eiwitten7 g"
"1665090319-33","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Peak's American pancake mix glutenvrij","https://www.ah.nl/producten/product/wi407806/peak-s-american-pancake-mix-glutenvrij","2.59","1396 kJ (330 kcal)","Vet1.6 g","Koolhydraten77 g","Normale prijs per KG € 8,87","Eiwitten2.5 g"
"1665090321-34","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Ovensnack wrap pittige kip","https://www.ah.nl/producten/product/wi518458/ah-ovensnack-wrap-pittige-kip","3.95","623 kJ (148 kcal)","Vet3.9 g","Koolhydraten19 g","Prijs per KG € 15,55","Eiwitten8 g"
"1665090324-35","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Ovensnack wrap Mexicaans","https://www.ah.nl/producten/product/wi518436/ah-ovensnack-wrap-mexicaans","3.95","673 kJ (160 kcal)","Vet4.4 g","Koolhydraten21 g","Prijs per KG € 15,61","Eiwitten7.5 g"
"1665090326-36","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Soupalicious One for one tom kha kai soep","https://www.ah.nl/producten/product/wi515685/soupalicious-one-for-one-tom-kha-kai-soep","3.99","261.9 kJ (62.9 kcal)","Vet3.9 g","Koolhydraten4.5 g","Prijs per KG € 7,98","Eiwitten2.2 g"
"1665090328-37","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Baguette gehaktballetjes","https://www.ah.nl/producten/product/wi518415/ah-baguette-gehaktballetjes","3.25","886 kJ (211 kcal)","Vet7.9 g","Koolhydraten25 g","Prijs per KG € 18,06","Eiwitten9 g"
"1665090331-38","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Soupalicious One for one rode paprikasoep","https://www.ah.nl/producten/product/wi517754/soupalicious-one-for-one-rode-paprikasoep","3.69","168.3 kJ (40.1 kcal)","Vet1.1 g","Koolhydraten6.1 g","Prijs per LT € 7,38","Eiwitten1.2 g"
"1665090333-39","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Italiaanse pasta maaltijd","https://www.ah.nl/producten/product/wi532866/ah-italiaanse-pasta-maaltijd","9.76","null","null","null","null","null"
"1665090336-40","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Vegetarische kebab pizza bloemkool","https://www.ah.nl/producten/product/wi514066/ah-vegetarische-kebab-pizza-bloemkool","2.99","966 kJ (230 kcal)","Vet7.3 g","Koolhydraten29 g","Prijs per KG € 8,79","Eiwitten11 g"
"1665090338-41","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Consenza Worstenbroodjes","https://www.ah.nl/producten/product/wi508113/consenza-worstenbroodjes","4.19","1102 kJ (264 kcal)","Vet14 g","Koolhydraten26 g","Prijs per KG € 34,92","Eiwitten7.5 g"
"1665090340-42","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Stamppot zuurkool met rookworst","https://www.ah.nl/producten/product/wi380430/chef-martin-stamppot-zuurkool-met-rookworst","5.13","398 kJ (95 kcal)","Vet5 g","Koolhydraten8 g","Prijs per KG € 8,55","Eiwitten3.8 g"
"1665090343-43","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Kadir's Pitabrood kipsaté","https://www.ah.nl/producten/product/wi534800/kadir-s-pitabrood-kipsate","1.99","1009 kJ (239 kcal)","Vet7.5 g","Koolhydraten36 g","null","Eiwitten7.6 g"
"1665090345-44","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Kadir's Frikandelbroodje","https://www.ah.nl/producten/product/wi533529/kadir-s-frikandelbroodje","3.09","1391 kJ (334 kcal)","Vet24 g","Koolhydraten23 g","null","Eiwitten7.3 g"
"1665090347-45","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Kip in Oosterse saus met mie en groenten","https://www.ah.nl/producten/product/wi380470/chef-martin-kip-in-oosterse-saus-met-mie-en-groenten","6.16","692 kJ (165 kcal)","Vet5.7 g","Koolhydraten21.8 g","Prijs per KG € 11,30","Eiwitten6.4 g"
"1665090350-46","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Runderlapje in jus, spruitjes","https://www.ah.nl/producten/product/wi380445/chef-martin-runderlapje-in-jus-spruitjes","5.13","361 kJ (86 kcal)","Vet2.6 g","Koolhydraten8.8 g","Prijs per KG € 11,15","Eiwitten6.1 g"
"1665090352-47","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Consenza Saucijzenbroodjes","https://www.ah.nl/producten/product/wi228426/consenza-saucijzenbroodjes","5.59","1448 kJ (346 kcal)","Vet22.2 g","Koolhydraten29.2 g","Prijs per KG € 31,06","Eiwitten6.8 g"
"1665090354-48","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Streeckgenoten Aspergesoep","https://www.ah.nl/producten/product/wi494434/streeckgenoten-aspergesoep","3.99","233 kJ (56 kcal)","Vet3.5 g","Koolhydraten3.7 g","Prijs per KG € 5,70","Eiwitten2.3 g"
"1665090356-49","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Hachee rode kool-gekookte aardappelen","https://www.ah.nl/producten/product/wi380415/chef-martin-hachee-rode-kool-gekookte-aardappelen","4.59","416 kJ (99 kcal)","Vet1.8 g","Koolhydraten13.2 g","Prijs per KG € 9,56","Eiwitten6.1 g"
"1665090359-50","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Smaakt Boekweit pannenkoekmix","https://www.ah.nl/producten/product/wi444821/smaakt-boekweit-pannenkoekmix","2.39","1498 kJ (354 kcal)","Vet1.8 g","Koolhydraten74 g","Prijs per KG € 5,98","Eiwitten8.1 g"
"1665090361-51","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Pizzapocket cheddar chili","https://www.ah.nl/producten/product/wi524312/ah-pizzapocket-cheddar-chili","2.79","1257 kJ (299 kcal)","Vet9 g","Koolhydraten40 g","null","Eiwitten11 g"
"1665090364-52","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Mama deli Maaltijd bruine bonen, wortel, tomaat","https://www.ah.nl/producten/product/wi520970/mama-deli-maaltijd-bruine-bonen-wortel-tomaat","5.99","322.5 kJ (76.8 kcal)","Vet1.1 g","Koolhydraten10.9 g","Prijs per KG € 9,98","Eiwitten3.7 g"
"1665090366-53","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Wahid Grill kippenspies","https://www.ah.nl/producten/product/wi516227/wahid-grill-kippenspies","4.29","688 kJ (164 kcal)","Vet8.3 g","Koolhydraten1.7 g","Prijs per KG € 19,05","Eiwitten21 g"
"1665090368-54","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Wagner Bella Napoli pizza margherita","https://www.ah.nl/producten/product/wi484218/wagner-bella-napoli-pizza-margherita","4.49","956 kJ (227 kcal)","Vet7.5 g","Koolhydraten28.1 g","Prijs per KG € 10,56","Eiwitten11.2 g"
"1665090371-55","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Zweedse gehaktballetjes","https://www.ah.nl/producten/product/wi380453/chef-martin-zweedse-gehaktballetjes","4.62","628 kJ (150 kcal)","Vet8.7 g","Koolhydraten10.5 g","Prijs per KG € 10,36","Eiwitten6.2 g"
"1665090373-56","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Draadjesvlees in jus rode biet met ui","https://www.ah.nl/producten/product/wi380441/chef-martin-draadjesvlees-in-jus-rode-biet-met-ui","6.16","424 kJ (101 kcal)","Vet2.4 g","Koolhydraten10.2 g","Prijs per KG € 12,57","Eiwitten8.2 g"
"1665090375-57","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Mezzaluna gamberi e polpa di granchio","https://www.ah.nl/producten/product/wi525330/ah-mezzaluna-gamberi-e-polpa-di-granchio","2.99","990 kJ (235 kcal)","Vet6 g","Koolhydraten36 g","Prijs per KG € 11,96","Eiwitten8.4 g"
"1665090378-58","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Marrokaanse couscous pakket compleet","https://www.ah.nl/producten/product/wi519801/ah-marrokaanse-couscous-pakket-compleet","9.67","null","null","null","null","null"
"1665090380-59","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Peak's Pancake shaker glutenvrij","https://www.ah.nl/producten/product/wi494089/peak-s-pancake-shaker-glutenvrij","2.99","1485 kJ (350 kcal)","Vet1.9 g","Koolhydraten77.7 g","Prijs per KG € 17,09","Eiwitten5.2 g"
"1665090382-60","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Nasi goreng met kip en satésaus","https://www.ah.nl/producten/product/wi380498/chef-martin-nasi-goreng-met-kip-en-satesaus","4.10","694 kJ (166 kcal)","Vet6.4 g","Koolhydraten19.7 g","Prijs per KG € 11,45","Eiwitten6.7 g"
"1665090385-61","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Stamppot boerenkool met rookworst","https://www.ah.nl/producten/product/wi380422/chef-martin-stamppot-boerenkool-met-rookworst","5.65","454 kJ (109 kcal)","Vet5.2 g","Koolhydraten10.5 g","Prijs per KG € 8,97","Eiwitten3.7 g"
"1665090387-62","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Zoete aardappelsoep proteïne","https://www.ah.nl/producten/product/wi514126/ah-zoete-aardappelsoep-proteine","1.99","310 kJ (74 kcal)","Vet0.9 g","Koolhydraten11 g","Prijs per LT € 3,49","Eiwitten3.8 g"
"1665090389-63","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Dr. Oetker Big americans vegan pizza bbq jackfruit","https://www.ah.nl/producten/product/wi514014/dr-oetker-big-americans-vegan-pizza-bbq-jackfruit","4.99","827 kJ (196 kcal)","Vet4.2 g","Koolhydraten33 g","Prijs per KG € 10,85","Eiwitten5.4 g"
"1665090392-64","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Paddenstoelenragout met rijst","https://www.ah.nl/producten/product/wi380485/chef-martin-paddenstoelenragout-met-rijst","5.13","405 kJ (97 kcal)","Vet4.4 g","Koolhydraten11.1 g","Prijs per KG € 9,50","Eiwitten2.9 g"
"1665090394-65","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Japanse teriyaki pakket (Compleet)","https://www.ah.nl/producten/product/wi520060/ah-japanse-teriyaki-pakket-compleet","11.59","null","null","null","null","null"
"1665090396-66","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Mini pie kipsate","https://www.ah.nl/producten/product/wi518425/ah-mini-pie-kipsate","3.39","1241 kJ (297 kcal)","Vet17 g","Koolhydraten26 g","null","Eiwitten9.3 g"
"1665090399-67","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Wahid Grill kippenvleugels","https://www.ah.nl/producten/product/wi516226/wahid-grill-kippenvleugels","4.29","886 kJ (213 kcal)","Vet13.6 g","Koolhydraten0.5 g","Prijs per KG € 14,29","Eiwitten22.2 g"
"1665090401-68","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Wagner Bella napoli speciale","https://www.ah.nl/producten/product/wi514019/wagner-bella-napoli-speciale","4.49","861 kJ (204 kcal)","Vet5.9 g","Koolhydraten27.7 g","Prijs per KG € 10,44","Eiwitten9.6 g"
"1665090404-69","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Indische rijsttafel kipsat-babi pangang","https://www.ah.nl/producten/product/wi380425/chef-martin-indische-rijsttafel-kipsat-babi-pangang","5.13","515 kJ (123 kcal)","Vet5.4 g","Koolhydraten12.9 g","Prijs per KG € 10,47","Eiwitten5.3 g"
"1665090407-70","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Kadir's Bapao kip","https://www.ah.nl/producten/product/wi516751/kadir-s-bapao-kip","1.49","1009 kJ (239 kcal)","Vet7.5 g","Koolhydraten36 g","null","Eiwitten7.6 g"
"1665090411-71","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Dr. Oetker Big Americans spicy edition","https://www.ah.nl/producten/product/wi496386/dr-oetker-big-americans-spicy-edition","4.69","953 kJ (227 kcal)","Vet7.7 g","Koolhydraten29 g","Prijs per KG € 10,54","Eiwitten8.9 g"
"1665090414-72","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Ah xl salade pittige kip","https://www.ah.nl/producten/product/wi410311/ah-ah-xl-salade-pittige-kip","5.49","590 kJ (141 kcal)","Vet5.5 g","Koolhydraten16 g","Prijs per KG € 9,98","Eiwitten6.4 g"
"1665090416-73","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Cajun omelet met bonne femme groenten","https://www.ah.nl/producten/product/wi380490/chef-martin-cajun-omelet-met-bonne-femme-groenten","4.10","444 kJ (106 kcal)","Vet4.9 g","Koolhydraten10.8 g","Prijs per KG € 10,20","Eiwitten4 g"
"1665090418-74","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Kalkoen in licht romige champignonsaus","https://www.ah.nl/producten/product/wi380461/chef-martin-kalkoen-in-licht-romige-champignonsaus","5.65","446 kJ (107 kcal)","Vet5 g","Koolhydraten7.9 g","Prijs per KG € 12,81","Eiwitten6.4 g"
"1665090421-75","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Bami goreng met kipdij en satésau en ei","https://www.ah.nl/producten/product/wi380424/chef-martin-bami-goreng-met-kipdij-en-satesau-en-ei","5.13","505 kJ (121 kcal)","Vet4.9 g","Koolhydraten12.9 g","Prijs per KG € 9,50","Eiwitten5.8 g"
"1665090423-76","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Pizzapocket pepperoni","https://www.ah.nl/producten/product/wi524311/ah-pizzapocket-pepperoni","2.79","1540 kJ (367 kcal)","Vet16 g","Koolhydraten39 g","null","Eiwitten14 g"
"1665090425-77","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Bapao rundvlees 4-pack","https://www.ah.nl/producten/product/wi520381/ah-bapao-rundvlees-4-pack","4.36","null","null","null","null","null"
"1665090428-78","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Koopmans Pannenkoeken proteïne","https://www.ah.nl/producten/product/wi477771/koopmans-pannenkoeken-proteine","2.39","713 kJ (170 kcal)","Vet3 g4%","Koolhydraten23 g9%","Prijs per KG € 13,66","Eiwitten11 g22%"
"1665090430-79","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Baguette kip kebab","https://www.ah.nl/producten/product/wi518430/ah-baguette-kip-kebab","3.25","856 kJ (203 kcal)","Vet5.7 g","Koolhydraten26 g","Prijs per KG € 19,01","Eiwitten11 g"
"1665090432-80","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Kadir's Bapao rund halal","https://www.ah.nl/producten/product/wi516755/kadir-s-bapao-rund-halal","1.49","1012 kJ (240 kcal)","Vet10 g","Koolhydraten36 g","null","Eiwitten6.9 g"
"1665090435-81","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Oma's Soep Indiase curry","https://www.ah.nl/producten/product/wi515691/oma-s-soep-indiase-curry","5.79","459 kJ (111 kcal)","Vet4.6 g","Koolhydraten13.4 g","Prijs per KG € 12,87","Eiwitten2.6 g"
"1665090437-82","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Kip tandoori Indiaas","https://www.ah.nl/producten/product/wi476437/ah-kip-tandoori-indiaas","3.39","326 kJ (78 kcal)","Vet2.2 g","Koolhydraten9.6 g","Prijs per KG € 7,14","Eiwitten3.9 g"
"1665090439-83","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Zalmfilet roomsaus spinazie tagliatelle","https://www.ah.nl/producten/product/wi380435/chef-martin-zalmfilet-roomsaus-spinazie-tagliatelle","6.16","705 kJ (168 kcal)","Vet11 g","Koolhydraten11.4 g","Prijs per KG € 11,20","Eiwitten6.2 g"
"1665090442-84","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Jachtschotel rode kool en aardappelpuree","https://www.ah.nl/producten/product/wi380414/chef-martin-jachtschotel-rode-kool-en-aardappelpuree","5.65","437 kJ (104 kcal)","Vet3.1 g","Koolhydraten13.3 g","Prijs per KG € 9,04","Eiwitten4.8 g"
